宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
玉山县双明镇康乐平价药店（连）,YSXSMZKLPJYDL,DWI00003019
青龙镇二塘长里社区卫生服务中心,QLZETCLSQWSFWZX,DWI00016831
江西康力药品物流有限公司(谢晓红),JXKLYPWLYXGS(XXH),DWI00010148
信丰县平安惠康大药房零售有限公司,XFXPAHKDYFLSYXGS,DWI00016545
江西新创力医药有限公司高安配送站,JXXCLYYYXGSGAPSZ,DWI00019728
高安市仁和药店,GASRHYD,DWI00022187
徐汉淼诊所(停用),XHZS(TY),DWI00004112
李金娥内科诊所(停用),LJENKZS(TY),DWI00006014
进贤县人民药房(停用),JXXRMYF(TY),DWI00002749
湖南麓谷医药有限公司,HNLGYYYXGS,DWI00011288
南城县沙洲镇沙洲村卫生所,NCXSZZSZCWSS,DWI00009509
高家镇庄泉村卫生所(谢新国),GJZZQCWSS(XXG),DWI00022909
双田新睦村卫生所（徐水林）,STXMCWSSXSL,DWI00001389
井冈山市大陇镇顺意药店(停用),JGSSDLZSYYD(TY),DWI00022940
九江县岷山乡分水村卫生所(陈和银),JJXSXFSCWSS(CHY),DWI00010126
阮强诊所,RQZS,DWI00008114
张东财诊所,ZDCZS,DWI00009798
涂水盛诊所,TSSZS,DWI00003038
蓝奎峰诊所,LKFZS,DWI00018911
坞桥村卫生所,WQCWSS,DWI00022700
涌山村卫生所,YSCWSS,DWI00022947
茅坪村卫生所,MPCWSS,DWI00023262
乐平汪田寿诊所,LPWTSZS,DWI00022709
光彩社区医务室,GCSQYWS,DWI00017862
吉水县永康药店,JSXYKYD,DWI00001069
宁海怡生大药房,NHSDYF,DWI00022976
彭泽县中心药店,PZXZXYD,DWI00007652
德兴市汪氏药房,DXSWSYF,DWI00023556
龙南县建丽药房,LNXJLYF,DWI00022185
九龙乡伍君发诊所,JLXWJFZS,DWI00022913
井冈山市坳里药店,JGSSLYD,DWI00023266
八景镇联合卫生所,BJZLHWSS,DWI00021464
兴国县仁爱大药房,XGXRADYF,DWI00007868
双田老睦村卫生所,STLMCWSS,DWI00022180
定南县九洲大药房,DNXJZDYF,DWI00023039
德安县蒲棠大药房,DAXPTDYF,DWI00023283
湖口县邹德模诊所,HKXZDMZS,DWI00015022
瑞金市友康大药房,RJSYKDYF,DWI00023332
老城村第二卫生所,LCCDEWSS,DWI00000255
贤女村第二卫生所,XNCDEWSS,DWI00022716
赣县新联邦大药房,GXXLBDYF,DWI00022796
鄱阳县万寿大药房,YXWSDYF,DWI00023234
高田居委会卫生室,GTJWHWSS,DWI00021139
乐安县象山街卫生所,LAXXSJWSS,DWI00017959
九合乡城南村卫生所,JHXCNCWSS,DWI00023439
会昌县永隆健民药店,HCXYLJMYD,DWI00008563
君埠乡大田村卫生室,JBXDTCWSS,DWI00015959
大桥镇青林村卫生所,DQZQLCWSS,DWI00022097
天红镇天红村卫生所,THZTHCWSS,DWI00023123
宁都县蔡江诚信药店,NDXCJCXYD,DWI00019863
小江镇新店村卫生所,XJZXDCWSS,DWI00023436
小港镇梅岗村卫生室,XGZMGCWSS,DWI00018681
崇仁县许坊乡卫生院,CRXXFXWSY,DWI00002362
文峰社区卫生服务站,WFSQWSFWZ,DWI00009241
梅棠镇大坪村卫生所,MTZDPCWSS,DWI00023313
樟树市第二人民医院,ZSSDERMYY,DWI00018812
永泰镇车埠村卫生所,YTZCBCWSS,DWI00016109
江洲镇前梗村卫生所,JZZQGCWSS,DWI00022559
渝水孙金平中医诊所,YSSJPZYZS,DWI00015393
瑞昌市杨林湖大药房,RCSYLHDYF,DWI00008766
白良乡白良村卫生所,BLXBLCWSS,DWI00008289
虎圩乡阳光村卫生所,HXYGCWSS,DWI00018877
虬津镇麻洲村卫生所,JZMZCWSS,DWI00010220
贵溪市文坊太勇药店,GXSWFTYYD,DWI00023156
金龙镇木金村卫生所,JLZMJCWSS,DWI00022706
铜鼓县温泉镇卫生院,TGXWQZWSY,DWI00019806
铜鼓县高桥乡卫生院,TGXGQXWSY,DWI00020660
云堆卫生三所(黄禾生),YDWSSS(HHS),DWI00019439
爱国村卫生所(姜长桥),AGCWSS(JCQ),DWI00012927
万载县西坑柞树下药店,WZXXKZSXYD,DWI00018598
丰城市春天大药房,FCSCTDYF,DWI00004192
熊昌琪中西医眼科诊所(停用),XCZXYYKZS(TY),DWI00002114
兰希鹏诊所,LXPZS,DWI00022692
汤世鸿诊所,TSHZS,DWI00014972
信丰民生药店,XFMSYD,DWI00008130
桥边村卫生室,QBCWSS,DWI00022932
范家村卫生所,FJCWSS,DWI00022404
便民药店(新余),BMYD(XY),DWI00001009
三溪桥村卫生所,SXQCWSS,DWI00000837
婺源县益民诊所,YXYMZS,DWI00008765
广丰县国堂药店,GFXGTYD,DWI00004365
弋阳县康宁药店,YXKNYD,DWI00019780
桑田中心卫生院,STZXWSY,DWI00015992
樟树市保安药店,ZSSBAYD,DWI00004292
鹰潭市天卫医院,YTSTWYY,DWI00020978
塔前彭家村卫生所,TQPJCWSS,DWI00021500
定南县惠民大药房,DNXHMDYF,DWI00022958
浔阳区新民康药房,YQXMKYF,DWI00021940
龙南县宝芝灵药店,LNXBZLYD,DWI00008771
弋阳县家家乐大药房,YXJJLDYF,DWI00020109
江西昂泰医药有限公司,JXATYYYXGS,DWI00018625
兰州西城药业有限责任公司,LZXCYYYXZRGS,DWI00019371
双田华家村卫生所（华永庚）,STHJCWSSHYG,DWI00001537
江西樟树市同心药业有限公司,JXZSSTXYYYXGS,DWI00011203
界水乡黄溪村第二卫生所(杨继兵)(停用),JSXHXCDEWSS(YJB)(TY),DWI00015509
沙河经济开发区天坡社区卫生服务站(苏小鹏)(停用),SHJJKFQTPSQWSFWZ(SXP)(TY),DWI00010354
朱伦梯药店,ZLTYD,DWI00016442
杜溪村卫生所,DXCWSS,DWI00015964
婺源县康泰药店,YXKTYD,DWI00004119
婺源县秋口药店,YXQKYD,DWI00005528
宁化县益丰药店,NHXYFYD,DWI00022011
宁海华彩大药房,NHHCDYF,DWI00015752
建宁县周济药店,JNXZJYD,DWI00000693
弋阳县心心药房,YXXXYF,DWI00020778
新余赣新门诊部,XYGXMZB,DWI00014882
永安市康华药店,YASKHYD,DWI00021571
浮梁县浮红药店,FLXFHYD,DWI00003139
白舍中心卫生院,BSZXWSY,DWI00002660
铜鼓县国仁药店,TGXGRYD,DWI00003716
高安市桥北药店,GASQBYD,DWI00020466
江西康顺医药有限公司,JXKSYYYXGS,DWI00020616
广丰县五都王家畈刘小玉卫生所,GFXWDWJLXYWSS,DWI00002376
圩上桥镇何家村卫生所（艾剑波）,SQZHJCWSSAJB,DWI00018245
君埠乡银田村卫生室,JBXYTCWSS,DWI00022664
嘉定镇水西村卫生所,JDZSXCWSS,DWI00023235
婺源县浙源乡卫生院,YXZYXWSY,DWI00004411
峡江县社区服务药店,XJXSQFWYD,DWI00003286
开发区凤口村卫生所,KFQFKCWSS,DWI00023523
德兴市开心人大药房,DXSKXRDYF,DWI00022645
德安县和气堂大药房,DAXHQTDYF,DWI00023459
沙坪镇南阳村卫生所,SPZNYCWSS,DWI00020337
温岭市城西诚来药店,WLSCXCLYD,DWI00023422
湖口县大垅乡卫生院,HKXDXWSY,DWI00018822
瑞昌市流庄乡卫生院,RCSLZXWSY,DWI00022825
璜源村卫生所一分所,YCWSSYFS,DWI00020876
罗河镇杨桥村卫生所,LHZYQCWSS,DWI00022328
进贤县罗溪便民药店,JXXLXBMYD,DWI00022855
鄱阳县东湖中心药店,YXDHZXYD,DWI00010771
黄泥村卫生所二分所,HNCWSSEFS,DWI00022538
丰城市丽村同安堂药店,FCSLCTATYD,DWI00023307
永隆乡永联村卫生二所,YLXYLCWSES,DWI00023494
盘古山镇和平村卫生所,PGSZHPCWSS,DWI00023464
竟成镇黄泥头村卫生室,JCZHNTCWSS,DWI00009946
赣县王母渡镇中信药房,GXWMDZZXYF,DWI00023315
赤土华芝堂平价大药房,CTHZTPJDYF,DWI00016897
下岸村卫生所石荣波诊室,XACWSSSRBZS,DWI00020357
东山村卫生所王火生诊室,DSCWSSWHSZS,DWI00014926
于都贡江张观福中医诊所,YDGJZGFZYZS,DWI00019686
井冈山市龙市镇鑫仁药店,JGSSLSZRYD,DWI00023278
双桥村卫生所（王华英）,SQCWSSWHY,DWI00010922
君埠乡君埠村卫生室一所,JBXJBCWSSYS,DWI00021167
晚禾村卫生所吴有谊诊室,WHCWSSWYYZS,DWI00014983
潭溪村卫生所（李隆佑）,TXCWSSLLY,DWI00010094
瑞金市黄柏乡绿草湖药店,RJSHBXLCHYD,DWI00019694
铁炉村卫生所刘志新诊室,TLCWSSLZXZS,DWI00020496
麻下村卫生所李国红诊室,MXCWSSLGHZS,DWI00020393
龙冈畲族乡毛兰村卫生室,LGZXMLCWSS,DWI00019424
韶口大塘村卫生所(林恢敏),SKDTCWSS(LHM),DWI00018440
乐安县湖坪乡善和村卫生所,LAXHPXSHCWSS,DWI00017962
乐安县罗陂乡棠溪村卫生所,LAXLXTXCWSS,DWI00017976
九江市老年社区卫生服务站,JJSLNSQWSFWZ,DWI00000299
井冈山市医药公司大陇药店,JGSSYYGSDLYD,DWI00023419
众卜河东卫生所（马学贵）,ZBHDWSSMXG,DWI00005827
南丰县市山镇桔王平价药房,NFXSSZJWPJYF,DWI00005192
南康市唐江镇济仁堂大药房,NKSTJZJRTDYF,DWI00010638
奉化市莼湖合兴中西大药房,FHSHHXZXDYF,DWI00008818
宁都县东韶乡琳池仁康药店,NDXDSXLCRKYD,DWI00019015
广丰县双桥村周龙兵卫生所,GFXSQCZLBWSS,DWI00002298
建宁县黄坊乡家强为民药店,JNXHFXJQWMYD,DWI00023479
弋阳县南岩镇栗桥村卫生所,YXNYZLQCWSS,DWI00021040
弋阳县花亭乡花亭村卫生所,YXHTXHTCWSS,DWI00022228
铁石口镇上坝村第一卫生所,TSKZSBCDYWSS,DWI00021921
铁石口镇寨背村第一卫生所,TSKZZBCDYWSS,DWI00023501
靖安县水口乡沙港村卫生所,JAXSKXSGCWSS,DWI00002683
岷山乡大塘村卫生所(一分所),SXDTCWSS(YFS),DWI00022146
高阜镇务家村卫生所(王政繁),GFZWJCWSS(WZF),DWI00021715
万载县潭埠镇联合诊所二门诊,WZXTBZLHZSEMZ,DWI00015772
五里街道南湖社区卫生服务站,WLJDNHSQWSFWZ,DWI00021939
广丰县永丰卫生所（钱国华）,GFXYFWSSQGH,DWI00005279
九江经济技术开发区众康大药房,JJJJJSKFQZKDYF,DWI00018521
南村乡望下村卫生所（周金祥）,NCXWXCWSSZJX,DWI00015180
湖口张青乡长塘村卫生所(吴国喜),HKZQXCTCWSS(WGX),DWI00010966
相公庙卫生室,XGMWSS,DWI00022924
马岗村卫生所,MGCWSS,DWI00022255
高川村卫生所,GCCWSS,DWI00006618
丽水市大洋药房,LSSDYYF,DWI00020672
丽水德和堂药店,LSDHTYD,DWI00023420
广丰县益康药房,GFXYKYF,DWI00008085
信丰县平安大药房,XFXPADYF,DWI00010936
黎川县民康大药房,LCXMKDYF,DWI00017974
岭下村卫生所(廖莺),LXCWSS(L),DWI00017868
中源乡合港村卫生所,ZYXHGCWSS,DWI00014402
余江县锦江太平药店,YJXJJTPYD,DWI00009455
宜春市凤凰社区药店,YCSFHSQYD,DWI00005655
新干县桃溪乡卫生院,XGXTXXWSY,DWI00019949
溧江乡堆背村卫生室,JXDBCWSS,DWI00022849
睦村乡河桥村卫生所,MCXHQCWSS,DWI00022931
葛田乡树背村卫生所,GTXSBCWSS,DWI00023265
县妇幼保健所(周振民),XFYBJS(ZZM),DWI00021678
竹坪村卫生所(王金铭),ZPCWSS(WJM),DWI00000248
修水县黄港镇杏林药店,XSXHGZXLYD,DWI00002943
宁都县卫职校第二诊所,NDXWZXDEZS,DWI00017474
芦溪县南坑群健大药房,LXXNKQJDYF,DWI00019023
进贤县新区吴氏大药房,JXXXQWSDYF,DWI00022858
上高县田心镇东方红药房,SGXTXZDFHYF,DWI00000784
信丰朝阳大药房建设路店,XFCYDYFJSLD,DWI00021519
南昌市青山谱昌江大药房,NCSQSPCJDYF,DWI00023627
小江镇罗吉村第二卫生所,XJZLJCDEWSS,DWI00022635
崇仙乡桥头村第一卫生所,CXXQTCDYWSS,DWI00022886
正平镇芫庙村第一卫生所,ZPZMCDYWSS,DWI00021804
观巢镇共青村第二卫生所,GCZGQCDEWSS,DWI00018679
阳坂村卫生所计玉华诊室,YCWSSJYHZS,DWI00020522
下村镇千秋岭村第三卫生所,XCZQQLCDSWSS,DWI00019714
乐安县代坊镇沙堆村卫生所,LAXDFZSDCWSS,DWI00017998
乐安县山砀镇航桥村卫生所,LAXSZHQCWSS,DWI00018031
德安县丰林镇乌石村卫生室,DAXFLZWSCWSS,DWI00019846
浮江乡浮江村曾凡芳卫生所,FJXFJCZFFWSS,DWI00023161
都昌县中馆镇南塘村卫生所,DCXZGZNTCWSS,DWI00020531
十都村卫生所二分所(潘建晴),SDCWSSEFS(PJQ),DWI00012947
靖安县双溪镇双溪村卫生所**,JAXSXZSXCWSS**,DWI00018459
高田乡高田村卫生所(陆长琴),GTXGTCWSS(LCQ),DWI00021706
鸭塘村卫生所二分所(周新标),YTCWSSEFS(ZXB),DWI00012916
鹤城镇泸声村卫生所(吴建斌),HCZSCWSS(WJB),DWI00021549
岗上积中心卫生院第二门诊部,GSJZXWSYDEMZB,DWI00010800
涌山流槎村卫生所（彭小牛）,YSLCWSSPXN,DWI00007630
南康市麻双乡圩下村街上卫生所,NKSMSXXCJSWSS,DWI00014171
阁山镇韶塘卫生所,GSZSTWSS,DWI00018553
大余县兆祥药店华康分店,DYXZXYDHKFD,DWI00007273
湖口县回春大药房(沈冬景),HKXHCDYF(SDJ),DWI00016323
汤声云诊所,TSYZS,DWI00018186
上坊村卫生所,SFCWSS,DWI00023384
排下村卫生所,PXCWSS,DWI00022925
排头村卫生所,PTCWSS,DWI00023264
丰城市子龙诊所,FCSZLZS,DWI00022497
李锦权西医诊所,LJQXYZS,DWI00010897
王龙生中医诊所,WLSZYZS,DWI00023417
袁州区晏斌诊所,YZQBZS,DWI00021752
万载县平安堂药店,WZXPATYD,DWI00003898
上犹县安平大药房,SYXAPDYF,DWI00022543
于都县永康大药房,YDXYKDYF,DWI00016664
修水县福瑞大药房,XSXFRDYF,DWI00023403
双田田里村卫生所,STTLCWSS,DWI00023323
吉安县安塘卫生院,JAXATWSY,DWI00016572
丰城市荷湖康庄药店,FCSHHKZYD,DWI00022025
双田镇桥头村卫生所,STZQTCWSS,DWI00023238
发官村红卫桥卫生室,FGCHWQWSS,DWI00019253
塔前兰桥村卫生所(操庆武),TQLQCWSS(CQW),DWI00003492
老百姓大药房连锁(江西)有限公司,LBXDYFLS(JX)YXGS,DWI00021094
江金元诊所,JJYZS,DWI00022130
余干东方医院,YGDFYY,DWI00023080
三溪乡保丰村卫生所,SXXBFCWSS,DWI00002739
乘龙村卫生所三分所,CLCWSSSFS,DWI00012938
南丰县千方第二药店,NFXQFDEYD,DWI00002461
城东社区卫生服务站,CDSQWSFWZ,DWI00021224
安福县百姓乐大药房,AFXBXLDYF,DWI00022987
宜丰县长桥村卫生所,YFXCQCWSS,DWI00000272
山南村委山南卫生所,SNCWSNWSS,DWI00005131
建宁县里心仁和药店,JNXLXRHYD,DWI00009602
昌付镇太平村卫生所,CFZTPCWSS,DWI00019043
景德镇市便民大药房,JDZSBMDYF,DWI00022631
樟树市药都河西药店,ZSSYDHXYD,DWI00021644
溪口镇北岸村卫生所,XKZBACWSS,DWI00022953
石渡乡丰年村卫生所,SDXFNCWSS,DWI00023204
余干县济仁平价药房*,YGXJRPJYF*,DWI00007581
万安县潞田镇汤氏药店,WAXLTZTSYD,DWI00002732
万载县白良乡万康药店,WZXBLXWKYD,DWI00018065
南昌市桃花平民大药房,NCSTHPMDYF,DWI00009208
常山县天马镇百信药店,CSXTMZBXYD,DWI00013139
建宁县黄舟坊三和药店,JNXHZFSHYD,DWI00022522
江西欣涛医药有限公司,JXXTYYYXGS,DWI00018923
英豪村卫生所杨涛诊室,YHCWSSYTZS,DWI00020510
赣州市章贡区虔城药店,GZSZGQCYD,DWI00008905
龙塘镇社区卫生服务站,LTZSQWSFWZ,DWI00014642
高安市芦墟药店(卢抓岗),GASLXYD(LZG),DWI00004709
上犹县城镇药店一门市部,SYXCZYDYMSB,DWI00001868
上饶县皂头镇郑恒春药店,SRXZTZZHCYD,DWI00002316
于都贡江廖曙元中西诊所,YDGJLSYZXZS,DWI00006007
兴国县康仁大药房东村店,XGXKRDYFDCD,DWI00023046
同兴村卫生所吴长生诊室,TXCWSSWCSZS,DWI00020402
团林乡铜钱村龚晋长诊室,TLXTQCGJCZS,DWI00017447
宜丰县流源家家祥大药房,YFXLYJJXDYF,DWI00023220
春前分场卫生所雷鸣诊室,CQFCWSSLMZS,DWI00020359
牌港村卫生所吴文峰诊室,PGCWSSWWFZS,DWI00022129
玉山县四股桥民康堂药店,YSXSGQMKTYD,DWI00018099
红土山卫生所余国栋诊室,HTSWSSYGDZS,DWI00014308
铜鼓县三都镇中心卫生院,TGXSDZZXWSY,DWI00018831
靖安县噪都镇德仁堂药店,JAXZDZDRTYD,DWI00002577
怀玉陇首村卫生室(董武松),HYLSCWSS(DWS),DWI00017292
湖口县台山卫生所(曹水平),HKXTSWSS(CSP),DWI00014956
乐安县公溪镇公溪村卫生所,LAXGXZGXCWSS,DWI00022863
九江市民生大药房有限公司,JJSMSDYFYXGS,DWI00021754
新干县家家乐大药房七琴店,XGXJJLDYFQQD,DWI00013164
横峰县大众药房五环花园店,HFXDZYFWHHYD,DWI00023125
江西三点堂大药房有限公司,JXSDTDYFYXGS,DWI00001053
油山镇老屋下村第一卫生所,YSZLWXCDYWSS,DWI00021325
浮江乡浮江村王永建卫生所,FJXFJCWYJWSS,DWI00021510
浮江乡车里村总窿口卫生所,FJXCLCZLKWSS,DWI00010320
铁石口镇益口村第一卫生所,TSKZYKCDYWSS,DWI00022634
彭泽县东明村卫生所(颉水初),PZXDMCWSS(SC),DWI00006633
众卜方家村卫生所（方灯河）,ZBFJCWSSFDH,DWI00021183
宁波市自家人大药房有限公司,NBSZJRDYFYXGS,DWI00021462
宜春市神农堂大药房七家岭店,YCSSNTDYFQJLD,DWI00022461
涌山镇月形村卫生所（邱海生）,YSZYXCWSSQHS,DWI00007620
乌石镇陈坊村村卫生所（陈木飞）,WSZCFCCWSSCMF,DWI00021560
朝阳村卫生所第二分所（张高友）,CYCWSSDEFSZGY,DWI00007220
江西省医药集团新余公司罗坊药店,JXSYYJTXYGSLFYD,DWI00015671
沙河经济开发区天坡村卫生所分所,SHJJKFQTPCWSSFS,DWI00022558
棉船江心卫生所第三分所（许兴福）,MCJXWSSDSFSXXF,DWI00007226
宁都田埠乡田埠村卫生所(一)(曾小涛),NDTBXTBCWSS(Y)(ZXT),DWI00021537
涂埠镇涂埠村渔业队二卫生所(徐国明),TBZTBCYYDEWSS(XGM),DWI00013422
乐安县山砀卫生院,LAXSWSY,DWI00017943
修水县万福大药房,XSXWFDYF,DWI00022026
吉安县康源大药房,JAXKYDYF,DWI00021433
安源区文运发诊所,AYQWYFZS,DWI00016140
定南县杏林大药房,DNXXLDYF,DWI00019875
广丰县大家好药房,GFXDJHYF,DWI00008703
景德镇市利康药店,JDZSLKYD,DWI00008432
永新县中源大药房,YXXZYDYF,DWI00015458
江山市幸福大药房,JSSXFDYF,DWI00019087
玉山县金三角药房,YSXJSJYF,DWI00008476
界垦场第二门诊部,JKCDEMZB,DWI00012808
英矿东村矿医务所,YKDCKYWS,DWI00017584
余干县城珊珊药店*,YGXCSSYD*,DWI00002502
铅山县金利合药店*,QSXJLHYD*,DWI00002066
嵩市卫生院(方实现),SWSY(FSX),DWI00021544
宁化博爱医疗门诊部,NHBAYLMZB,DWI00016202
定南天九药材门市部,DNTJYCMSB,DWI00002053
拖船镇塘圩村卫生所,TCZTCWSS,DWI00021673
杭州高沙药店四分店,HZGSYDSFD,DWI00010023
梅水乡窑下康泰诊所,MSXYXKTZS,DWI00009490
梅江镇温浩生大药房,MJZWHSDYF,DWI00012952
浮梁县老百姓大药房,FLXLBXDYF,DWI00003939
渝水袁荣生中医诊所,YSYRSZYZS,DWI00015832
蓉江为良平价大药房,RJWLPJDYF,DWI00021859
虬津镇红桥村卫生所,JZHQCWSS,DWI00010470
赣县南塘镇人和药店,GXNTZRHYD,DWI00010700
金龙镇圆山村卫生所,JLZYSCWSS,DWI00006449
铁路镇江边村卫生室,TLZJBCWSS,DWI00021338
铅山县河口福星药店*,QSXHKFXYD*,DWI00001995
五里村卫生所(刘志忠),WLCWSS(LZZ),DWI00003252
彭汾村卫生所(刘以明),PFCWSS(LYM),DWI00003636
修水县黄沙温馨大药房,XSXHSWDYF,DWI00001008
兴国县方太乡海林药房,XGXFTXHLYF,DWI00022010
剑南街道金角村卫生室,JNJDJJCWSS,DWI00021981
城北街办蓼洲村卫生所,CBJBZCWSS,DWI00018987
安福县横龙镇平安药店,AFXHLZPAYD,DWI00021976
广昌县甘竹镇中医诊所,GCXGZZZYZS,DWI00003215
樟树市刘公庙民安药店,ZSSLGMMAYD,DWI00019316
泰和县螺溪镇民康药店,THXLXZMKYD,DWI00016640
遂川县樟邦胡氏大药房,SCXZBHSDYF,DWI00021867
鄱阳县高家岭凌氏药店,YXGJLLSYD,DWI00014157
黎川县神龙平价大药房,LCXSLPJDYF,DWI00015999
三潼村卫生所万一德诊室,SCWSSWYDZS,DWI00007419
三潼村卫生所毕发光诊室,SCWSSBFGZS,DWI00017892
上饶县煌固镇林观新药店,SRXHGZLGXYD,DWI00008913
上饶县郑坊镇李永海药店,SRXZFZLYHYD,DWI00002555
上饶市信州区福春堂药房,SRSXZQFCTYF,DWI00022171
下村镇下村村第四卫生所,XCZXCCDSWSS,DWI00017301
君埠乡君埠村卫生室二所,JBXJBCWSSES,DWI00021165
嘉定镇长生村第二卫生所,JDZCSCDEWSS,DWI00022007
大阿镇谷山村第二卫生所,DAZGSCDEWSS,DWI00021603
宜黄县医药公司棠阴药店,YHXYYGSTYYD,DWI00008560
宜黄县黄陂镇中心卫生院,YHXHZZXWSY,DWI00016265
广丰县吴村徐金萍卫生所,GFXWCXJPWSS,DWI00001821
杭州金龙堂大药房胡桥店,HZJLTDYFHQD,DWI00013485
横水镇塔下村第三卫生所,HSZTXCDSWSS,DWI00021351
永宁卫生院第一附属诊所,YNWSYDYFSZS,DWI00002135
湖东村卫生所余松水诊室,HDCWSSYSSZS,DWI00016652
百丈山风景名胜区卫生院,BZSFJMSQWSY,DWI00014060
草埠村卫生所叶冬平诊室,CBCWSSYDPZS,DWI00020523
袁河办郑家村第二卫生所,YHBZJCDEWSS,DWI00009060
观巢镇社头村第一卫生所,GCZSTCDYWSS,DWI00017572
长水村卫生所（蔡彦斌）,CSCWSSCYB,DWI00009017
鹏溪村卫生所（席方敏）,PXCWSSXFM,DWI00005612
梅江镇西厢村卫生所(十一),MJZXXCWSS(SY),DWI00020937
樟树市永泰镇卫生院(两网),ZSSYTZWSY(LW),DWI00018281
万载县马步乡新民村卫生所,WZXMBXXMCWSS,DWI00014307
于都县梓山镇龙口村卫生所,YDXSZLKCWSS,DWI00020462
于都县靖石乡黄沙村卫生所,YDXJSXHSCWSS,DWI00016527
兴国梁晓强中西医结合诊所,XGLXQZXYJHZS,DWI00014306
宜春市袁州区永祥医药商店,YCSYZQYXYYSD,DWI00001146
建宁县里心镇里心村卫生所,JNXLXZLXCWSS,DWI00001793
建宁县金溪乡河东村卫生所,JNXJXXHDCWSS,DWI00010543
抚州市民康大药房荆公路店,FZSMKDYFJGLD,DWI00010245
永修县三角乡五星村卫生所,YXXSJXWXCWSS,DWI00019899
江西省九江市医药有限公司,JXSJJSYYYXGS,DWI00018145
浮梁县聚草堂大药房洋湖店,FLXJCTDYFYHD,DWI00022041
赣州市健民大药房有限公司,GZSJMDYFYXGS,DWI00003306
金溪县琅琚镇新南村卫生所,JXXLZXNCWSS,DWI00001816
乌石镇乌石村卫生所(邱老仔),WSZWSCWSS(QLZ),DWI00021557
青龙村卫生所占祥水诊室(余),QLCWSSZXSZS(Y),DWI00013766
韩坊乡红星村卫生所(葛林滨),HFXHXCWSS(GLB),DWI00021994
丰城市乐百姓大药房有限公司,FCSLBXDYFYXGS,DWI00004194
乌石镇茂林村卫生所（蒋冲）,WSZMLCWSSJC,DWI00021558
于都县航运公司造船厂医务室,YDXHYGSZCCYWS,DWI00021904
信丰县油山镇红米段村卫生所,XFXYSZHMDCWSS,DWI00021337
接渡李洪村卫生所（李兆飞）,JDLHCWSSLZF,DWI00008508
涌山车溪村卫生所（朱柳芳）,YSCXCWSSZLF,DWI00007624
玉山县下镇镇瑞丰药店（连）,YSXXZZRFYDL,DWI00004605
郊区村卫生所方永青中西诊室,JQCWSSFYQZXZS,DWI00004153
玉山县岩瑞镇田坂村为民药店*,YSXYRZTCWMYD*,DWI00019882
太平村卫生所第三分所(刘欣荣),TPCWSSDSFS(LXR),DWI00006804
招携镇瓦子场村卫生所(王细生),ZXZWZCCWSS(WXS),DWI00015250
抚州市临川区医药公司东馆药店,FZSLCQYYGSDGYD,DWI00002869
文峰镇炉下村卫生所（庄家玉）,WFZLXCWSSZJY,DWI00014780
